Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Suite 4,Chrome 67.0.3396.99,Recoder,2018-07-24 17:58:47,2018-07-24 17:59:20,32.784s,PASSED
,,,,,,
Test Cases/Katalon Recoder 1,Chrome 67.0.3396.99,Record option,2018-07-24 17:58:48,2018-07-24 17:59:19,31.762s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-24 17:58:48,2018-07-24 17:59:18,29.693s,PASSED
Statement - driver = com.kms.katalon.core.webui.driver.DriverFactory.getWebDriver(),Chrome 67.0.3396.99,,2018-07-24 17:59:18,2018-07-24 17:59:18,0.021s,PASSED
"Statement - baseUrl = ""https://www.katalon.com/""",Chrome 67.0.3396.99,,2018-07-24 17:59:18,2018-07-24 17:59:18,0.000s,PASSED
"Statement - selenium = new com.thoughtworks.selenium.webdriven.WebDriverBackedSelenium(driver, baseUrl)",Chrome 67.0.3396.99,,2018-07-24 17:59:18,2018-07-24 17:59:18,0.065s,PASSED
"Statement - selenium.open(""https://www.katalon.com/sign-up/"")",Chrome 67.0.3396.99,,2018-07-24 17:59:18,2018-07-24 17:59:19,1.038s,PASSED
"Statement - selenium.type(""id=user_login"", ""svgsfg"")",Chrome 67.0.3396.99,,2018-07-24 17:59:19,2018-07-24 17:59:19,0.096s,PASSED
"Statement - selenium.click(""id=user_email"")",Chrome 67.0.3396.99,,2018-07-24 17:59:19,2018-07-24 17:59:19,0.094s,PASSED
"Statement - selenium.type(""id=user_email"", ""drgh"")",Chrome 67.0.3396.99,,2018-07-24 17:59:19,2018-07-24 17:59:19,0.046s,PASSED
"Statement - selenium.click(""id=user_pass"")",Chrome 67.0.3396.99,,2018-07-24 17:59:19,2018-07-24 17:59:19,0.080s,PASSED
"Statement - selenium.type(""id=user_pass"", ""ethyet"")",Chrome 67.0.3396.99,,2018-07-24 17:59:19,2018-07-24 17:59:19,0.059s,PASSED
"Statement - selenium.click(""id=signup-btn"")",Chrome 67.0.3396.99,,2018-07-24 17:59:19,2018-07-24 17:59:19,0.079s,PASSED
